,Year,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
,Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May
8612-Jiangsu Branch,Personal Sales,0.13%,0.13%,0.16%,0.14%,0.14%,0.13%,0.13%,0.12%,0.12%,0.11%,0.10%,0.10%,0.20%,0.15%,0.10%,0.09%,0.08%,0.07%,0.07%,0.06%,0.08%,0.07%,0.08%,0.07%,0.08%,0.15%,0.13%,0.15%,0.14%,0.13%,0.17%,0.19%,0.21%,0.24%,0.24%,0.23%,0.40%,0.33%,0.33%,0.32%,0.30%
8613-Inner Mongolia Branch,Personal Sales,0.14%,0.15%,0.24%,0.29%,0.24%,0.26%,0.24%,0.24%,0.21%,0.20%,0.19%,0.18%,0.00%,0.05%,0.13%,0.15%,0.15%,0.15%,0.15%,0.15%,0.14%,0.14%,0.12%,0.13%,0.17%,0.09%,0.17%,0.21%,0.24%,0.23%,0.24%,0.23%,0.23%,0.24%,0.26%,0.27%,0.30%,0.31%,0.33%,0.31%,0.25%
8614-Yunnan Branch,Personal Sales,0.11%,0.06%,0.08%,0.07%,0.09%,0.08%,0.08%,0.08%,0.07%,0.07%,0.06%,0.05%,0.05%,0.09%,0.08%,0.10%,0.08%,0.09%,0.08%,0.08%,0.09%,0.10%,0.11%,0.11%,0.15%,0.20%,0.17%,0.19%,0.15%,0.15%,0.14%,0.17%,0.17%,0.17%,0.18%,0.20%,0.00%,0.05%,0.11%,0.12%,0.14%
8615-Tianjin Branch,Personal Sales,0.00%,0.15%,0.14%,0.10%,0.08%,0.07%,0.06%,0.06%,0.07%,0.08%,0.07%,0.10%,0.00%,0.04%,0.06%,0.06%,0.08%,0.07%,0.06%,0.07%,0.07%,0.07%,0.06%,0.06%,0.09%,0.09%,0.06%,0.07%,0.07%,0.10%,0.10%,0.10%,0.11%,0.13%,0.11%,0.11%,0.53%,0.53%,0.47%,0.40%,0.31%
8616-Liaoning Branch,Personal Sales,0.08%,0.09%,0.06%,0.05%,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.15%,0.14%,0.13%,0.12%,0.10%,0.10%,0.10%,0.11%,0.09%,0.08%,0.08%,0.09%,0.11%,0.10%,0.21%,0.26%,0.25%,0.23%,0.20%,0.22%,0.23%,0.23%,0.24%,0.22%,0.37%,0.29%,0.24%,0.20%,0.18%
8617-Henan Branch,Personal Sales,0.07%,0.08%,0.09%,0.12%,0.13%,0.14%,0.14%,0.14%,0.13%,0.12%,0.12%,0.12%,0.07%,0.05%,0.06%,0.08%,0.07%,0.08%,0.08%,0.08%,0.09%,0.09%,0.08%,0.08%,0.06%,0.05%,0.11%,0.17%,0.15%,0.14%,0.14%,0.14%,0.14%,0.14%,0.15%,0.17%,0.06%,0.10%,0.14%,0.15%,0.15%
8618-Ningbo Center Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.07%,0.06%,0.10%,0.09%,0.08%,0.00%,0.26%,0.17%,0.12%,0.22%,0.33%,0.34%,0.28%,0.29%,0.29%,0.26%,0.23%,0.00%,0.14%,0.09%,0.13%,0.20%
8619-Shenzhen Branch,Personal Sales,0.00%,0.00%,2.13%,1.74%,1.48%,1.30%,1.17%,1.07%,0.99%,0.93%,0.87%,0.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
8620-Qingdao Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.03%,0.03%,0.03%,0.00%,0.00%,0.00%,0.09%,0.07%,0.12%,0.15%,0.17%,0.18%,0.16%,0.14%,0.14%,0.29%,0.15%,0.09%,0.07%,0.05%,0.08%,0.10%,0.14%,0.17%,0.22%,0.20%,0.24%,0.13%,0.07%,0.16%,0.18%,0.17%
8621-Hebei Branch,Personal Sales,0.09%,0.14%,0.12%,0.11%,0.12%,0.12%,0.13%,0.13%,0.13%,0.13%,0.13%,0.13%,0.05%,0.03%,0.04%,0.06%,0.06%,0.06%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.18%,0.16%,0.15%,0.16%,0.20%,0.18%,0.18%,0.19%,0.18%,0.18%,0.18%,0.19%,0.19%,0.15%,0.16%,0.19%,0.17%
8622-Jiangxi Branch,Personal Sales,0.05%,0.05%,0.12%,0.10%,0.10%,0.09%,0.09%,0.10%,0.09%,0.08%,0.08%,0.07%,0.08%,0.07%,0.06%,0.09%,0.09%,0.10%,0.10%,0.10%,0.10%,0.10%,0.09%,0.09%,0.09%,0.09%,0.10%,0.10%,0.09%,0.07%,0.08%,0.09%,0.09%,0.08%,0.09%,0.09%,0.17%,0.15%,0.20%,0.20%,0.17%
8623-Shanghai Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.21%,0.26%,0.34%,0.37%,0.00%,0.32%,0.20%,0.15%,0.11%
8624-Shanxi Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.01%,0.02%,0.02%,0.02%,0.27%,0.21%,0.22%,0.26%,0.26%,0.29%,0.27%,0.27%,0.25%,0.27%,0.27%,0.26%,0.33%,0.22%,0.26%,0.28%,0.28%
8625-Dalinan Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.07%,0.06%,0.06%,0.05%,0.04%,0.04%,0.50%,0.26%,0.17%,0.12%,0.10%,0.08%,0.07%,0.06%,0.05%,0.04%,0.08%,0.14%,0.00%,0.00%,0.16%,0.23%,0.27%,0.22%,0.18%,0.21%,0.18%,0.20%,0.17%,0.16%,0.56%,0.43%,0.43%,0.43%,0.26%
8626-Fujian Branch,Personal Sales,0.00%,0.06%,0.08%,0.09%,0.07%,0.06%,0.05%,0.06%,0.06%,0.05%,0.05%,0.05%,0.00%,0.09%,0.06%,0.06%,0.05%,0.04%,0.05%,0.05%,0.04%,0.05%,0.05%,0.06%,0.26%,0.22%,0.32%,0.28%,0.30%,0.27%,0.27%,0.29%,0.27%,0.29%,0.27%,0.25%,0.00%,0.17%,0.20%,0.20%,0.21%
8627-Jilin Branch,Personal Sales,0.13%,0.24%,0.26%,0.25%,0.22%,0.26%,0.27%,0.25%,0.24%,0.23%,0.21%,0.23%,0.23%,0.23%,0.31%,0.26%,0.23%,0.24%,0.23%,0.21%,0.20%,0.19%,0.17%,0.19%,0.10%,0.20%,0.20%,0.19%,0.19%,0.20%,0.22%,0.26%,0.26%,0.25%,0.25%,0.27%,0.16%,0.30%,0.33%,0.33%,0.32%
8628-Xinjiang Branch,Personal Sales,0.20%,0.21%,0.21%,0.18%,0.15%,0.12%,0.16%,0.15%,0.13%,0.12%,0.12%,0.14%,0.10%,0.11%,0.14%,0.16%,0.15%,0.12%,0.11%,0.09%,0.08%,0.07%,0.07%,0.10%,0.17%,0.20%,0.13%,0.14%,0.11%,0.18%,0.15%,0.17%,0.17%,0.20%,0.21%,0.23%,0.00%,0.08%,0.27%,0.33%,0.25%
8629-Guangxi Branch,Personal Sales,0.00%,0.23%,0.15%,0.11%,0.13%,0.11%,0.12%,0.13%,0.12%,0.11%,0.09%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.05%,0.04%,0.05%,0.04%,0.05%,0.00%,0.00%,0.00%,0.00%,0.03%,0.08%,0.12%,0.12%,0.19%,0.19%,0.18%,0.17%,0.15%,0.20%,0.15%,0.18%,0.19%
8630-Gansu Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.04%,0.04%,0.03%,0.03%,0.06%,0.08%,0.00%,0.10%,0.11%,0.08%,0.10%,0.08%,0.07%,0.07%,0.06%,0.06%,0.07%,0.08%,0.11%,0.11%,0.10%,0.08%,0.10%,0.13%,0.11%,0.12%,0.12%,0.14%,0.17%,0.16%,0.00%,0.08%,0.09%,0.12%,0.12%
8631-Hainan Branch,Personal Sales,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.15%,0.13%,0.12%,0.00%,0.00%,0.30%,0.22%,0.17%,0.14%,0.11%,0.10%,0.08%,0.07%,0.06%,0.06%,0.00%,0.24%,0.15%,0.11%,0.08%
8632-Ningxia Branch,Personal Sales,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.27%,0.21%,0.34%,0.28%,0.35%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%
8633-Guizhou Branch,Personal Sales,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.04%,0.33%,0.17%,0.10%,0.08%,0.12%
8634-Weifang Center Branch,Personal Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanism,Personal Sales,0.08%,0.10%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.10%,0.10%,0.11%,0.10%,0.10%,0.10%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.13%,0.13%,0.15%,0.17%,0.17%,0.17%,0.17%,0.18%,0.19%,0.19%,0.19%,0.19%,0.23%,0.22%,0.23%,0.23%,0.21%
