,,standard withdraw rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.1,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.1,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.1,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.1,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,total
8608-Zhejiang Branch,personal sales,0.4260%,0.8224%,1.3445%,1.6850%,1.9954%,2.3403%,2.8037%,3.2134%,3.5855%,3.9146%,4.3775%,4.8445%,0.5241%,0.7961%,1.1996%,1.5515%,1.8888%,2.1202%,2.4602%,2.7262%,3.0433%,3.3711%,3.7011%,4.0547%,0.4530%,0.7402%,1.1281%,1.4845%,1.7683%,2.0128%,2.2956%,2.5823%,2.8622%,3.0661%,3.3177%,3.6821%,0.2418%,0.4547%,0.7781%,1.0332%,1.2804%,1.5054%,1.6465%,1.8267%,2.0187%,2.2058%,2.4976%,2.7629%,0.2675%,0.3957%,0.6223%,0.7623%,0.9270%,1.0752%,1.2388%,1.5249%,1.8097%,1.9589%,2.0976%,2.3960%,0.2355%,0.3948%,0.5889%,0.7237%,0.8701%,1.5419%
8609-Sichuan Branch,personal sales,0.4108%,0.7805%,1.1539%,1.4282%,1.7396%,2.6761%,3.0791%,3.5858%,4.0433%,4.3162%,5.2742%,5.8016%,0.5202%,0.9136%,1.3759%,1.6724%,1.9752%,2.2497%,2.8337%,3.1595%,3.4917%,3.7777%,4.0952%,4.5308%,0.4194%,0.7770%,1.0963%,1.3624%,1.6438%,1.9210%,2.3700%,2.5747%,2.8033%,3.0873%,3.4096%,3.7658%,0.3397%,0.4994%,0.8441%,1.0517%,2.4850%,2.7071%,2.7279%,2.9097%,3.0382%,3.2294%,3.3473%,3.6254%,0.2685%,0.5090%,0.6991%,0.8328%,0.9578%,1.1053%,1.2431%,1.4272%,1.6088%,1.8079%,2.2300%,2.4434%,0.1634%,0.3120%,0.5017%,0.6521%,0.7442%,1.6891%
8610-Anhui Branch,personal sales,0.5544%,1.1146%,1.6346%,2.0617%,2.6407%,3.0865%,3.6115%,3.9738%,4.3192%,4.8204%,5.1426%,5.6869%,0.6526%,1.0490%,1.5720%,1.9207%,2.3733%,2.8594%,3.3267%,3.7506%,4.2314%,4.8017%,5.3283%,5.8083%,0.4584%,0.8066%,1.2754%,1.6742%,2.0795%,2.4507%,2.9257%,3.3147%,3.6931%,4.0401%,4.4466%,4.8599%,0.4480%,0.8758%,1.5021%,1.8762%,2.1898%,2.5404%,2.8614%,3.1983%,3.5395%,3.8369%,4.1457%,4.4667%,0.3930%,0.7361%,1.1097%,1.3134%,1.5690%,1.7570%,2.1229%,2.3208%,2.5217%,2.7939%,3.0625%,3.4075%,0.2242%,0.4992%,0.7157%,0.9111%,1.0576%,2.2231%
8611-Heilongjiang Branch,personal sales,0.8798%,1.6847%,2.6721%,3.2464%,3.8915%,4.5236%,5.2179%,5.8845%,6.4389%,7.1874%,7.8175%,8.5597%,0.9627%,1.5185%,2.1552%,2.7964%,3.2582%,3.5637%,4.0521%,4.4907%,4.9270%,5.3589%,5.6440%,6.0879%,0.5857%,0.9381%,1.3324%,1.7539%,2.0678%,2.3216%,2.5914%,2.8595%,3.1924%,3.3696%,3.7477%,4.1896%,0.4251%,0.7122%,1.0523%,1.3600%,1.5984%,1.8102%,2.0312%,2.2896%,2.5766%,2.7775%,3.0304%,3.3902%,0.2545%,0.4203%,0.6577%,0.8502%,1.0205%,1.1421%,1.3213%,1.4909%,1.6953%,1.7890%,1.9387%,2.1666%,0.1903%,0.3120%,0.4896%,0.5935%,0.7246%,1.8998%
8612-Jiangsu Branch,personal sales,0.4449%,0.8689%,1.4257%,1.8620%,2.2983%,2.9007%,3.3897%,3.8764%,4.3577%,4.6996%,5.0540%,5.5613%,0.5308%,0.8123%,1.2924%,1.6739%,2.1017%,2.4943%,2.8337%,3.3240%,3.6962%,4.1064%,4.4870%,4.9814%,0.4541%,0.7725%,1.3485%,1.7423%,2.2233%,2.5483%,2.8927%,3.2694%,3.6465%,4.0268%,4.3981%,4.9458%,0.4562%,0.8630%,1.3250%,1.7498%,2.1671%,2.5546%,2.7952%,3.0805%,3.3880%,3.7041%,4.0726%,4.5055%,0.2624%,0.5313%,0.8931%,1.1750%,1.4400%,1.6789%,1.9435%,2.2892%,2.7015%,3.0198%,3.2747%,3.6568%,0.2425%,0.4273%,0.8100%,1.0374%,1.2401%,2.1841%
8613-Inner Mongolia Branch,personal sales,0.1926%,0.4287%,0.8066%,1.1114%,1.4098%,1.6505%,1.9176%,2.2102%,2.3533%,2.5408%,2.8214%,3.1484%,2.2217%,2.2986%,2.5402%,2.7244%,3.4661%,3.7492%,3.8930%,4.0388%,4.1916%,4.3522%,4.4694%,4.7266%,0.2393%,0.3808%,0.6454%,0.8686%,1.0691%,1.3021%,1.5435%,1.8624%,2.1055%,2.2825%,2.4292%,2.7542%,0.1601%,0.2542%,0.3934%,0.5671%,0.7208%,0.8644%,0.9350%,1.1484%,1.3285%,1.4468%,1.5306%,1.6999%,0.1543%,0.2816%,0.5971%,0.7283%,0.8333%,0.9539%,1.1108%,1.2625%,1.3735%,1.4532%,1.6114%,1.8456%,0.1789%,0.2848%,0.4686%,0.7127%,0.8083%,1.2633%
8614-Yunnan Branch,personal sales,0.2733%,0.8310%,1.3932%,1.9569%,2.3732%,2.8992%,3.2999%,3.7550%,4.0199%,4.3508%,4.7130%,4.9894%,1.1003%,1.3709%,2.1525%,2.4318%,2.6761%,2.8790%,3.1802%,3.5234%,3.8956%,4.0404%,4.5573%,4.9547%,0.2964%,0.5185%,0.8346%,1.1397%,1.5601%,1.8316%,2.2454%,2.4202%,2.6865%,2.9820%,3.2143%,3.6037%,0.3057%,0.5180%,0.7706%,1.0629%,1.3706%,1.6311%,1.7878%,2.0584%,2.2060%,2.6599%,2.8161%,3.1156%,0.2561%,0.4780%,0.6660%,0.7803%,0.9434%,1.1268%,1.2528%,1.4262%,1.5863%,1.7835%,2.0189%,2.2721%,0.1599%,0.3011%,0.4895%,0.6033%,0.8616%,1.6478%
8615-Tianjin Branch,personal sales,0.5684%,1.1995%,1.7363%,2.2579%,2.9033%,3.4880%,4.1402%,4.6217%,5.0030%,5.3145%,5.6313%,6.1185%,0.5976%,0.7940%,1.4260%,1.7040%,2.1871%,2.5020%,2.7127%,2.9823%,3.2954%,3.7018%,3.9187%,4.3939%,0.5723%,0.9035%,1.4865%,1.9613%,2.2474%,2.5075%,2.6736%,3.1177%,3.3476%,3.5667%,3.9903%,4.2858%,0.2976%,0.6056%,0.9613%,1.3901%,1.8323%,2.0518%,2.1787%,2.4458%,2.6960%,2.8525%,3.0685%,3.4071%,0.2917%,0.4290%,0.5674%,0.7225%,0.8960%,1.1370%,1.3306%,1.5800%,1.8293%,1.9724%,2.1262%,2.3929%,0.2785%,0.4626%,0.7537%,0.9228%,1.2241%,1.8330%
8616-Liaoning Branch,personal sales,0.6708%,1.5369%,2.8246%,3.2808%,3.8766%,6.0023%,8.3699%,9.3270%,10.0879%,10.2855%,10.5442%,10.9124%,0.8896%,1.2217%,1.7417%,2.3237%,2.8740%,3.2363%,3.6072%,3.9797%,4.5206%,4.9436%,5.4035%,5.8009%,0.4942%,0.8391%,1.3219%,1.6448%,1.9632%,2.3648%,2.7521%,3.0598%,3.9596%,4.3293%,4.6812%,5.2835%,0.6760%,1.0138%,1.5277%,1.8601%,2.1365%,2.6810%,2.6515%,2.8816%,3.0873%,3.2682%,3.4567%,3.8520%,0.2168%,0.4575%,0.7368%,0.8866%,0.9996%,1.1597%,1.2963%,1.5119%,1.7506%,1.8335%,2.2697%,2.5022%,0.2806%,0.5720%,0.8100%,0.9381%,1.0969%,2.0533%
8617-Henan Branch,personal sales,0.3666%,0.7213%,1.1726%,1.4879%,1.7971%,2.1528%,2.4172%,2.6998%,2.9398%,3.1319%,3.3482%,3.6652%,0.4843%,0.6952%,1.0601%,1.3422%,1.6543%,1.8886%,2.1514%,2.3982%,2.6500%,2.9286%,3.1374%,3.4358%,0.3683%,0.5879%,0.9631%,1.2451%,1.5085%,1.7442%,2.0777%,2.2688%,2.5345%,2.6740%,2.8873%,3.1741%,0.2659%,0.4702%,0.7342%,0.9441%,1.1835%,1.4279%,1.6533%,1.9237%,2.1285%,2.3040%,2.6917%,2.9892%,0.2259%,0.3694%,0.5850%,0.7687%,0.9291%,1.1187%,1.3954%,1.6063%,1.7786%,1.9042%,2.0804%,2.3487%,0.1825%,0.3748%,0.7111%,0.8766%,1.1271%,1.4203%
